mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,RUS,71372108756.98851,51461003.647183925
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,CAN,20846943.549180407,2893.7812753977087
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,USA,3748335180.143088,945405.0329390549
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,RUS,32016271015.509754,23197288.182989717
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,CAN,906051922.9162766,122336.45433766943
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,RUS,81980275844.74844,58074841.805189036
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,CAN,908948621.6203496,122727.03415750951
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,RUS,30916684623.30982,22299827.47123852
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,CAN,18836848.358935554,2622.7476963225686
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,USA,2039771802.9939516,514471.2081282037
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,RUS,84078481545.59221,59524981.40940123
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,CAN,906051922.9162766,122336.45433766943
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,USA,2231985464.736911,562951.3344984665
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,RUS,33738222593.587807,24334601.20329459
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,CAN,651705275.1256864,88041.32114646467
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,RUS,85731004928.2379,60622635.62133584
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,RUS,33710993688.979618,24310330.630300235
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,USA,3456927337.516176,871906.1520180397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,RUS,30647553912.478848,22114288.93530306
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,CAN,142220463.6783186,19259.324422407397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,USA,3749287475.9582944,945645.2209727482
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,RUS,84939458678.59746,60091118.6310937
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,CAN,651705275.1256864,88041.32114646467
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,USA,3526502390.149939,889454.3705646123
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,RUS,71112144670.62636,51301988.84137297
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,CAN,20846943.549180407,2893.7812753977087
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,USA,2151892788.176076,542750.3610307514
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,RUS,31345729341.468388,22635449.82424933
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,CAN,646388127.9958874,87324.37728029733
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,USA,3456927337.516176,871906.1520180397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,RUS,33389777538.00602,24134540.552083764
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,CAN,96988278.54279129,13160.388866436064
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,USA,3444043949.429869,868656.7041024361
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,RUS,67447913049.294495,48732862.42731661
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,CAN,909981744.2872895,122875.90205422995
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,USA,3749287475.9582944,945645.2209727482
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,RUS,33299648549.319817,24070520.399726823
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,USA,2041123190.5733538,514812.0550796145
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,RUS,35992211656.53776,26019434.433317184
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,CAN,912739203.1704834,123247.70730698196
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,USA,3560160258.686515,897943.5575725011
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,RUS,30633845180.32679,22104290.83843044
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,USA,3454238966.8777494,871228.091223093
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,RUS,69736847121.43837,50346592.64089437
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,USA,2039945647.925148,514515.0552936799
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,RUS,31392007538.7598,22678642.174079098
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,42,CAN,142220463.6783186,19259.324422407397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,42,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,42,RUS,33257801548.65738,24046345.656356953
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,43,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,43,USA,2041123190.5733538,514812.0550796145
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,43,RUS,31575915472.138767,22807414.111095935
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,44,CAN,909981744.2872895,122875.90205422995
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,44,USA,2231985464.736911,562951.3344984665
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,44,RUS,58009099659.79371,42529754.69622205
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,45,CAN,18836848.358935554,2622.7476963225686
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,45,USA,2144242552.2114103,540820.8186508489
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,45,RUS,31879964594.48443,23087228.914175052
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,46,CAN,20846943.549180407,2893.7812753977087
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,46,USA,3565257819.274494,899229.2642139766
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,46,RUS,32016963784.71554,23197760.669245347
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,47,CAN,20846943.549180407,2893.7812753977087
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,47,USA,2255879785.8983316,568977.9597598201
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,47,RUS,57965563967.91713,42498374.55593232
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,48,CAN,646388127.9958874,87324.37728029733
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,48,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,48,RUS,85732211697.44511,60623480.45328387
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,49,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,49,USA,2039945647.925148,514515.0552936799
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,49,RUS,30354605015.13124,21942776.03283601
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,50,CAN,646388127.9958874,87324.37728029733
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,50,USA,3444043949.429869,868656.7041024361
