mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,6172273425.109869,1526573.556840021
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,RUS,109303864799.25844,71524261.90962109
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,CAN,955820240.5467756,123882.92122864175
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,USA,6400330566.890548,1587955.6222381934
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,RUS,39392392010.14518,25728692.600416917
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,CAN,177790341.1520771,22546.847552496958
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,USA,3332052764.140125,850802.6150114386
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,RUS,109221395564.62206,71483043.86252093
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,CAN,28248267.931301855,3491.8961891174
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,USA,6755906024.274744,1666322.8170533914
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,RUS,41806185929.4868,27373825.181226738
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,CAN,23342215.98510639,2895.211080482959
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,USA,6757467657.213225,1666717.1194605546
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,RUS,126222252768.49963,81334724.92717618
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,CAN,989428155.6506059,128461.73480720703
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,USA,6028314437.92625,1491463.0404622098
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,RUS,40237660626.51153,26248260.41205919
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,CAN,992673065.9082248,128852.3146270471
