mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_cost_res_usd2024,dam_cost_nonres_usd2024,dam_area_m2,dam_area_res_m2,dam_area_nonres_m2
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,12823263475.800117,9256384035.795736,3566879440.0043807,3299868.4305548947,2622515.4105061507,677353.0200487468
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,RUS,199621632587.33038,125280662761.82088,74340969825.51175,137363685.02303743,93095309.30417514,44268375.71886168
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,CAN,1141866335.866733,852574331.8720227,289292003.9947087,147693.25452868704,102681.18131388663,45012.073214800526
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,USA,7963663719.267079,6093027590.090167,1870636129.1768982,2081509.5670783466,1726274.3950399263,355235.17203842447
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,RUS,97071276338.52905,55211499316.36567,41859777022.16193,66695338.273045346,41028727.16107557,25666611.111970972
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,CAN,1394814841.1198387,1019320291.1055686,375494550.0142689,181118.27985643985,122850.88718762738,58267.39266881209
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,USA,7337223239.858149,5735587880.43293,1601635359.4252217,1929156.433186318,1625004.7044914458,304151.72869487404
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,RUS,62470730077.25287,35577578759.37005,26893151317.883984,42396003.18450073,26144024.54653879,16251978.637962015
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,CAN,112444064.49539174,96659778.59398794,15784285.901403783,14156.996936251871,11690.845605122255,2466.15133112962
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,USA,9088373354.552103,6299706223.382277,2788667131.169825,2314400.443616941,1784830.5114169791,529569.932199961
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,RUS,63595520039.229576,34638167996.24151,28957352042.98836,43039956.227172956,25565763.952062543,17474192.27511015
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,CAN,808239972.5180973,563493772.415059,244746200.10303986,105970.23407254813,67887.17992270208,38083.054149846204
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,USA,8427416688.535988,5598829102.8479,2828587585.6880674,2123409.112369701,1586258.2565964952,537150.855773207
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,RUS,284582163096.4654,175921908667.44455,108660254429.02335,190144710.39671415,127508991.67801507,62635718.7186955
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,CAN,1493119777.4703386,1077987594.5214791,415132182.9488587,194343.15480099825,129924.98971065803,64418.16509034053
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,USA,7517798451.312334,5769215186.113063,1748583265.1992805,1966589.2244043064,1634531.980695516,332057.2437087964
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,RUS,217678431716.44153,144246243850.32538,73432187866.11993,150355009.1451696,106895254.59447432,43459754.550696395
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,CAN,70077456.56376916,64988084.377708845,5089372.18606033,8693.962420108346,7904.218740495318,789.7436796130296
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,USA,13590000776.901443,10250488542.329332,3339512234.572119,3538340.5644147047,2904164.743329377,634175.8210853327
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,RUS,222874053549.82068,145371717498.84604,77502336050.97308,151566310.31757498,106229234.22375207,45337076.09382079
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,CAN,1195599827.7959247,914279303.5691124,281320524.2268108,153818.58186595433,110164.65013699402,43653.93172896046
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,USA,8069493338.458429,6679579054.506253,1389914283.9521875,2156401.6871853624,1892455.9459066133,263945.74127875466
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,RUS,81933872066.65692,47755496213.04259,34178375853.61365,56567917.294483334,35619541.7962366,20948375.49824673
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,CAN,1251999014.2136955,940988911.7566346,311010102.45706165,161656.30710442527,113395.29302807064,48261.01407635458
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,USA,11192929750.962296,7947194080.32904,3245735670.6332808,2867963.7639751043,2251596.1811165507,616367.5828585612
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,RUS,70565619187.2893,43533348341.13323,27032270846.156876,48163171.652287215,31898894.31417389,16264277.33811304
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,CAN,913023883.373724,702049815.6929964,210974067.68072802,117372.75736882046,84634.56733995715,32738.190028863326
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,USA,8562117447.165371,6064947756.17051,2497169690.9948626,2192533.1812024037,1718318.8265486078,474214.35465379484
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,RUS,94863826801.84398,53434422318.85171,41429404482.99181,64279698.67996473,39316123.720345095,24963574.95961905
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,CAN,1160783979.14779,834170883.5783089,326613095.5694807,151268.77483881908,100530.80232952337,50737.97250929565
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,USA,13116303117.377855,8599715542.110136,4516587575.267583,3294171.619050723,2436468.328014252,857703.2910364904
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,RUS,261886110167.34357,156046757153.9305,105839353013.41388,174678346.9320782,113636010.12933035,61042336.80275277
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,CAN,1441023810.4957123,1025672220.7109025,415351589.7848089,188148.8298021614,123618.84037615808,64529.989426003565
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,USA,8426971922.939717,6294638598.034498,2132333324.9052277,2188326.414939763,1783394.7536180688,404931.661321686
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,RUS,242931579077.66095,158330468192.15506,84601110885.50189,163165344.5220627,114526585.95452823,48638758.56753498
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,CAN,1747434064.505265,1413823842.046485,333610222.45877916,222115.59457284145,170290.9069561179,51824.68761672352
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,USA,5594031626.924735,4429628926.367347,1164402700.5573878,1476121.8075622453,1255000.8812618854,221120.92630035608
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,RUS,71782208781.78014,38165805915.44832,33616402866.33159,48175383.31149064,27855346.20410687,20320037.107383654
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,CAN,980978260.9010648,635634551.2643622,345343709.63670254,130258.56022364149,76637.47379301256,53621.0864306287
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,USA,3598148047.2294917,2410988540.282296,1187159506.9471934,908522.8704224182,683080.4099087282,225442.46051368568
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,RUS,195289276519.3095,127014819091.3984,68274457427.90642,136136419.0007962,94816159.20086043,41320259.799936965
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,CAN,49918388.363127634,48835733.624768384,1082654.7383592532,6115.80308694433,5947.802063328058,168.0010236162718
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,USA,6741505282.569805,5412877291.280674,1328627991.289122,1785881.8853100925,1533574.455928665,252307.42938143216
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,RUS,98322385796.3514,54670263071.56914,43652122724.782745,67192511.63469101,40553120.94006274,26639390.694628153
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,CAN,1416303239.0620973,991732852.8968312,424570386.16526747,185459.22262992454,119509.58567931222,65949.6369506125
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,USA,7216816788.247053,5464221909.01546,1752594879.2315989,1880940.4467937704,1548121.394639862,332819.05215390085
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,RUS,77740909604.03247,48999698534.88061,28741211069.152443,53680733.26265489,36155584.12914453,17525149.133510586
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,CAN,1091751623.300308,807826204.5500058,283925418.7503017,141472.50035236301,97341.02754499127,44131.47280737175
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,USA,4780227245.198652,3734512086.011594,1045715159.1870706,1256642.702159466,1058060.626958944,198582.0752005149
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,RUS,112567796856.55301,67970471595.5064,44597325261.046196,78248607.96230082,50789173.463668935,27459434.498631265
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,CAN,61032437.28431294,58418857.23751438,2613580.046798561,7545.032534572139,7118.511213550683,426.521321021456
